Num_Acc;an;mois;jour;hrmn;agg;atm;col;com;lat;long;dep
201400000008;2014;10;16;1200;2;1;6;051;50,53223;0,28149;590
201400000020;2014;4;18;1630;1;1;7;411;50,486;0,3059;590
201400000025;2014;6;4;1400;1;1;1;110;50,959;0,2268;590
201400000026;2014;6;19;1330;1;1;1;307;50,862;0,221;590
201400000027;2014;6;19;1530;1;1;7;307;50,876;0,2199;590
201400000028;2014;9;5;1345;1;1;3;576;5,0977;0,2314;590
201400000029;2014;9;17;1245;1;1;2;110;5,0971;0,228;590
201400000041;2014;8;1;1715;1;1;2;087;5,066771;0,245764;590
201400000050;2014;1;8;1800;2;2;6;212;5,064334;0,272739;590
201400000052;2014;5;28;2000;1;1;6;581;5,0673;0,278;590
201400000053;2014;10;21;1115;2;3;1;180;5,069;0,2715;590
201400000054;2014;11;12;1000;2;1;3;268;5,064;0,2706;590
201400000063;2014;1;4;1815;1;2;6;580;5,082243;0,257777;590
201400000084;2014;8;15;330;2;1;6;168;5,0946;0,3372;590
201400000087;2014;1;6;830;1;1;6;643;5,07418;0,296742;590
201400000088;2014;1;17;745;1;1;6;611;5,069992;0,301122;590
201400000089;2014;2;16;2100;1;1;6;482;5,071718;0,302158;590
201400000092;2014;9;11;1000;1;1;6;611;5,067177;0,30034;590
201400000093;2014;10;6;1115;1;1;6;611;5,069864;0,301465;590
201400000122;2014;8;9;1245;2;1;1;633;5,005898;0,416714;590
201400000149;2014;1;22;1830;1;1;3;377;5,014;0,32;590
201400000161;2014;1;17;1600;1;3;1;015;5,0288;0,3133;590
201400000168;2014;1;17;1430;2;2;3;357;5,0277;0,3867;590
201400000184;2014;4;27;2100;1;9;6;156;5,08997;0,176729;620
201400000186;2014;9;1;1415;1;1;7;318;5,05061;0,168226;620
201400000187;2014;1;7;1800;1;1;5;829;5,004768;0,290743;620
201400000188;2014;2;7;1500;1;8;3;410;5,009361;0,292014;620
201400000189;2014;3;6;2145;1;1;6;876;5,008643;0,280896;620
201400000190;2014;4;3;1615;1;1;1;117;5,009665;0,301061;620
